scheme_code,nav,nav_date
149046,1283.9697,2026-04-20
148714,10.1331,2026-04-20
148711,13.8454,2026-04-20
148713,10.2212,2026-04-20
148715,13.5417,2026-04-20
148712,10.4420,2026-04-20
148716,10.1319,2026-04-20
148718,10.2174,2026-04-20
148710,10.1331,2026-04-20
148705,13.4852,2026-04-20
148707,10.2163,2026-04-20
148709,13.4867,2026-04-20
148706,10.4126,2026-04-20
148708,10.1313,2026-04-20
148717,10.2337,2026-04-20
148771,13.9569,2026-04-20
148769,13.9569,2026-04-20
148768,13.7618,2026-04-20
148770,13.7618,2026-04-20
118508,46.9510,2026-04-20
118507,10.0942,2026-04-20
101048,42.7647,2026-04-20
101044,10.1909,2026-04-20
106838,10.0809,2026-04-20
118959,10.0809,2026-04-20
118961,53.5753,2026-04-20
118960,10.2092,2026-04-20
118962,10.0631,2026-04-20
106841,52.4223,2026-04-20
106839,10.2078,2026-04-20
106840,10.0626,2026-04-20
101804,100.8760,2026-04-20
120423,100.2304,2026-04-20
120425,489.7381,2026-04-20
120426,209.3798,2026-04-20
120424,102.5047,2026-04-20
101802,446.2302,2026-04-20
115510,196.9778,2026-04-20
111545,102.4937,2026-04-20
147269,1628.1670,2026-04-20
147267,1418.3849,2026-04-20
147266,1585.5451,2026-04-20
147265,1413.0612,2026-04-20
118660,10.2645,2026-04-20
118656,49.7829,2026-04-20
102676,10.2525,2026-04-20
118654,10.2742,2026-04-20
124590,22.2109,2026-04-20
118655,11.3872,2026-04-20
118661,10.9088,2026-04-20
102673,47.2023,2026-04-20
124589,21.3129,2026-04-20
102675,11.1831,2026-04-20
112942,11.0097,2026-04-20
102677,10.2607,2026-04-20
148550,14.0566,2026-04-20
148551,14.0558,2026-04-20
148549,14.0570,2026-04-20
148543,13.9117,2026-04-20
148544,13.9154,2026-04-20
148546,13.9128,2026-04-20
149007,13.6284,2026-04-20
149037,13.6284,2026-04-20
149000,13.6284,2026-04-20
149033,13.6284,2026-04-20
149002,13.6284,2026-04-20
149034,13.6284,2026-04-20
149001,13.6284,2026-04-20
149003,13.3490,2026-04-20
149035,13.3490,2026-04-20
149004,13.3490,2026-04-20
149036,13.3490,2026-04-20
149006,13.3490,2026-04-20
149038,13.3490,2026-04-20
149005,13.3490,2026-04-20
145295,1644.3592,2026-04-20
145287,1566.0019,2026-04-20
145293,1505.2784,2026-04-20
145291,1549.1116,2026-04-20
145296,1498.8358,2026-04-20
145290,1405.3086,2026-04-20
145289,1487.2180,2026-04-20
145292,1431.6027,2026-04-20
145288,1383.0193,2026-04-20
145294,1273.5121,2026-04-20
119606,11.4839,2026-04-20
100057,10.7139,2026-04-20
100058,80.2555,2026-04-20
119605,86.6676,2026-04-20
120447,27.8065,2026-04-20
120448,12.3009,2026-04-20
120449,10.0254,2026-04-20
116471,26.0163,2026-04-20
116472,11.7752,2026-04-20
116470,10.0165,2026-04-20
153206,1051.3782,2026-04-20
153207,1051.3782,2026-04-20
153211,1040.8290,2026-04-20
153209,1040.8290,2026-04-20
108557,11.9133,2026-04-20
118467,12.2687,2026-04-20
118464,39.4247,2026-04-20
118465,12.2680,2026-04-20
118463,15.2009,2026-04-20
131394,18.6607,2026-04-20
118466,11.6170,2026-04-20
111525,36.2878,2026-04-20
111527,13.6752,2026-04-20
131395,17.0458,2026-04-20
108559,11.1976,2026-04-20
108558,11.3101,2026-04-20
119341,47.3043,2026-04-20
119340,34.7262,2026-04-20
101187,43.0058,2026-04-20
101188,25.5261,2026-04-20
118299,81.8172,2026-04-20
118298,16.3180,2026-04-20
100597,75.5227,2026-04-20
100596,14.8801,2026-04-20
119099,103.0487,2026-04-20
119101,12.5938,2026-04-20
119100,10.7743,2026-04-20
100084,96.2561,2026-04-20
100085,12.4751,2026-04-20
100086,10.6674,2026-04-20
140309,26.2355,2026-04-20
140298,26.2257,2026-04-20
140302,26.1211,2026-04-20
140306,22.5972,2026-04-20
140308,16.4323,2026-04-20
140304,13.9526,2026-04-20
140310,24.5321,2026-04-20
140297,24.5214,2026-04-20
140301,24.5375,2026-04-20
140305,24.0117,2026-04-20
140307,10.2083,2026-04-20
140303,10.1258,2026-04-20
118498,66.1173,2026-04-20
118497,11.7986,2026-04-20
100493,60.0730,2026-04-20
100494,10.6137,2026-04-20
153477,9.9413,2026-04-20
153502,9.9395,2026-04-20
153503,9.8465,2026-04-20
153504,9.8467,2026-04-20
119116,59.1271,2026-04-20
101083,55.9726,2026-04-20
119115,12.9447,2026-04-20
101084,12.1040,2026-04-20
151014,75.9809,2026-04-20
151015,11.9553,2026-04-20
151013,65.6772,2026-04-20
151012,10.2376,2026-04-20
120590,113.9470,2026-04-20
120589,18.1840,2026-04-20
100369,105.3195,2026-04-20
100368,17.2537,2026-04-20
120520,3158.2742,2026-04-20
120519,1182.7444,2026-04-20
120521,2464.5446,2026-04-20
120522,1094.4581,2026-04-20
107476,1143.4651,2026-04-20
107477,2839.9561,2026-04-20
107471,1599.6681,2026-04-20
107472,1294.8177,2026-04-20
100281,97.2362,2026-04-20
119757,111.3781,2026-04-20
100280,11.6806,2026-04-20
100265,95.0435,2026-04-20
119759,108.7428,2026-04-20
100264,18.5718,2026-04-20
119758,23.9291,2026-04-20
120282,65.2955,2026-04-20
120283,18.8104,2026-04-20
100319,34.0503,2026-04-20
100318,22.0340,2026-04-20
100317,58.9550,2026-04-20
100316,16.9938,2026-04-20
118670,11.6214,2026-04-20
118669,43.2270,2026-04-20
118673,43.4565,2026-04-20
118672,43.3394,2026-04-20
109717,38.9256,2026-04-20
109723,10.5950,2026-04-20
109720,38.2025,2026-04-20
109716,32.0351,2026-04-20
109721,38.2025,2026-04-20
133265,24.2225,2026-04-20
109724,38.2025,2026-04-20
118674,23.4578,2026-04-20
138472,32.8925,2026-04-20
138474,14.1655,2026-04-20
138470,30.1963,2026-04-20
138467,13.2856,2026-04-20
151228,12.3074,2026-04-20
151230,11.9281,2026-04-20
151229,12.3046,2026-04-20
151231,11.9386,2026-04-20
101934,40.1236,2026-04-20
101932,42.9538,2026-04-20
119707,71.1214,2026-04-20
119706,22.6988,2026-04-20
101950,20.6664,2026-04-20
101951,20.9137,2026-04-20
101952,20.2775,2026-04-20
101001,66.8932,2026-04-20
100999,20.5695,2026-04-20
119954,24.8424,2026-04-20
101049,21.6565,2026-04-20
101042,78.1230,2026-04-20
119953,88.2268,2026-04-20
150408,12.2444,2026-04-20
150407,12.2444,2026-04-20
150456,12.2444,2026-04-20
150406,12.0240,2026-04-20
150405,12.0240,2026-04-20
150457,12.0240,2026-04-20
120792,67.3286,2026-04-20
102512,48.2194,2026-04-20
102514,48.2462,2026-04-20
102510,64.8517,2026-04-20
102511,26.5401,2026-04-20
120791,31.1588,2026-04-20
102509,38.8784,2026-04-20
118387,47.9514,2026-04-20
118390,10.4213,2026-04-20
131390,14.2837,2026-04-20
118388,11.7791,2026-04-20
118389,17.8637,2026-04-20
108644,10.3790,2026-04-20
131391,16.8535,2026-04-20
108753,47.0801,2026-04-20
111343,10.2646,2026-04-20
108646,11.4813,2026-04-20
131301,22.6260,2026-04-20
131304,10.6074,2026-04-20
131303,10.5070,2026-04-20
131302,10.8464,2026-04-20
131297,22.0483,2026-04-20
131298,10.4091,2026-04-20
131299,10.6571,2026-04-20
131300,10.8996,2026-04-20
131061,25.9392,2026-04-20
131054,11.5475,2026-04-20
131051,25.3436,2026-04-20
131057,11.2881,2026-04-20
120137,67.7814,2026-04-20
120136,22.0482,2026-04-20
101002,65.0245,2026-04-20
101003,21.1482,2026-04-20
150423,11.3886,2026-04-20
150424,13.0632,2026-04-20
150410,13.0632,2026-04-20
150415,12.9342,2026-04-20
150412,13.0634,2026-04-20
150419,11.1682,2026-04-20
150420,12.8306,2026-04-20
150409,12.8311,2026-04-20
150416,12.8308,2026-04-20
150411,12.8311,2026-04-20
125349,1001.6854,2026-04-20
125345,2122.6363,2026-04-20
125343,1005.8709,2026-04-20
125342,1001.6854,2026-04-20
125259,2107.8027,2026-04-20
125337,1005.8398,2026-04-20
154049,100.0527,2026-04-20
154051,102.0071,2026-04-20
154055,100.1239,2026-04-20
154052,100.3248,2026-04-20
154050,100.0565,2026-04-20
154053,100.0527,2026-04-20
154047,101.9779,2026-04-20
154048,100.1232,2026-04-20
154054,100.2967,2026-04-20
154056,100.0528,2026-04-20
100047,441.7526,2026-04-20
119568,447.5604,2026-04-20
100046,100.1950,2026-04-20
119569,100.1950,2026-04-20
119571,143.2150,2026-04-20
119570,100.2718,2026-04-20
100041,108.0230,2026-04-20
100048,108.2877,2026-04-20
103885,108.9434,2026-04-20
100044,163.6940,2026-04-20
100051,100.2706,2026-04-20
112014,299.5036,2026-04-20
100043,735.6598,2026-04-20
100042,716.8728,2026-04-20
120388,1001.1895,2026-04-20
120389,3081.7944,2026-04-20
120391,1007.8651,2026-04-20
