scheme_code,nav,nav_date
105067,172.9640,2026-05-21
105080,2365.1753,2026-05-21
105185,3684.9813,2026-05-21
105187,2400.9178,2026-05-21
105189,3661.5654,2026-05-21
105190,1014.0106,2026-05-21
105191,1045.6535,2026-05-21
105192,1010.4170,2026-05-21
105274,4341.8168,2026-05-21
105275,1394.8670,2026-05-21
105280,4301.1377,2026-05-21
105281,1140.7391,2026-05-21
105282,1379.8602,2026-05-21
105283,1411.5526,2026-05-21
105417,65.1400,2026-05-21
105418,61.1900,2026-05-21
105459,46.8900,2026-05-21
105460,127.9800,2026-05-21
105463,132.3235,2026-05-21
105503,182.5400,2026-05-21
105504,56.8900,2026-05-21
105543,10.1269,2026-05-21
105548,10.1163,2026-05-21
105578,1068.2974,2026-05-21
105603,33.5702,2026-05-21
105604,17.9159,2026-05-21
105605,1436.2743,2026-05-21
105627,1439.9079,2026-05-21
105628,423.9055,2026-05-21
105637,10.4956,2026-05-21
105639,9.9991,2026-05-21
105658,1465.0298,2026-05-21
105659,1083.3050,2026-05-21
105660,13.3009,2026-04-22
105661,38.0238,2026-04-22
105662,13.2403,2026-04-22
105663,28.3256,2026-04-22
105667,1041.8285,2026-05-21
105668,1232.6390,2026-05-21
105669,3340.1620,2026-05-21
105670,1011.3175,2026-05-21
105689,37.8472,2026-05-21
105692,13.2710,2026-05-21
105757,49.9800,2026-05-21
105758,199.2100,2026-05-21
105804,90.5962,2026-05-21
105805,37.4941,2026-05-21
105816,33.0382,2026-05-21
105817,99.4691,2026-05-21
105822,11.5372,2026-05-21
105823,35.9596,2026-05-21
105856,13.4584,2026-05-21
105857,10.3380,2026-05-21
105875,98.3920,2026-05-21
105878,1028.2299,2026-05-21
105881,100.5169,2026-05-21
105887,100.4281,2026-05-21
105888,100.0787,2026-05-21
105967,10.7275,2026-05-21
105968,39.4103,2026-05-21
105989,204.2750,2026-05-21
106095,45.1256,2026-05-21
106096,50.7267,2026-05-21
106143,40.4500,2026-05-21
106144,100.0000,2026-05-21
106157,102.4258,2026-05-21
106166,355.8400,2026-05-21
106167,90.8000,2026-05-21
106168,63.0985,2026-05-21
106169,39.4165,2026-05-21
106170,39.5056,2026-05-21
106171,1875.7637,2026-05-21
106172,1147.5943,2026-05-21
106177,3272.6331,2026-05-21
106179,1302.7787,2026-05-21
106183,35.9609,2026-05-21
106185,37.4070,2026-05-21
106186,10.9415,2026-05-21
106193,131.2007,2026-05-21
106212,3649.1221,2026-05-21
106213,1421.3845,2026-05-21
106214,1421.3715,2026-05-21
106215,1446.2628,2026-05-21
106216,1600.4562,2026-05-21
106217,3713.4762,2026-05-21
106221,1421.7191,2026-05-21
106222,1418.1899,2026-05-21
106227,37.6827,2026-05-21
106228,15.6314,2026-05-21
106229,17.2597,2026-05-21
106230,15.6550,2026-05-21
106231,33.3058,2026-05-21
106232,15.1011,2026-05-21
106233,18.4133,2026-05-21
106234,15.0862,2026-05-21
106235,87.5885,2026-05-21
106236,25.6081,2026-05-21
106240,87.5885,2026-05-21
106260,1335.2312,2026-05-21
106316,17.2200,2026-05-21
106317,51.2600,2026-05-21
106369,35.1269,2026-05-21
106370,43.4534,2026-05-21
106383,24.4595,2026-05-21
106384,46.2680,2026-05-21
106425,54.2993,2026-05-21
106426,47.4651,2026-05-21
106441,39.7720,2026-05-21
106442,39.7750,2026-05-21
106596,34.3428,2026-05-21
106597,56.6920,2026-05-21
106624,32.8686,2026-05-21
106653,42.6700,2026-05-21
106654,66.3900,2026-05-21
106793,32.2060,2026-05-21
106822,31.7000,2026-05-21
106823,85.3800,2026-05-21
106838,10.0446,2026-05-21
106839,10.1168,2026-05-21
106840,10.0050,2026-05-21
106841,52.2914,2026-05-21
106871,51.5483,2026-05-21
106872,22.4475,2026-05-21
106873,52.6757,2026-05-21
106929,800.9028,2026-05-21
106978,20.5716,2026-05-21
106979,43.5821,2026-05-21
106980,17.0085,2026-05-21
107287,47.4181,2026-05-21
107288,47.4188,2026-05-21
107352,111.0800,2026-05-21
107353,122.5100,2026-05-21
107409,18.9705,2026-05-21
107410,18.9712,2026-05-21
107471,1579.7658,2026-05-21
107472,1278.7123,2026-05-21
107476,1129.1756,2026-05-21
107477,2804.6248,2026-05-21
107524,46.6210,2026-05-21
107525,19.9940,2026-05-21
107578,107.7170,2026-05-21
107579,27.5900,2026-05-21
107693,130.2838,2026-05-21
107700,1002.4261,2026-05-21
107701,1103.9217,2026-05-21
107702,1013.2082,2026-05-21
107704,1085.7488,2026-05-21
107705,2360.6175,2026-05-21
107745,59.3200,2026-05-21
107763,52.5117,2026-05-21
107764,52.5131,2026-05-21
107988,34.9479,2026-05-21
107989,24.6553,2026-05-21
108166,42.9013,2026-05-21
108167,130.3176,2026-05-21
108202,111.4670,2026-05-21
108203,32.7510,2026-05-21
108249,70.4546,2026-05-21
108252,37.5588,2026-05-21
108258,70.4546,2026-05-21
108272,146.0433,2026-05-21
108273,378.3329,2026-05-21
108274,101.2432,2026-05-21
108377,71.7000,2026-05-21
108378,140.6000,2026-05-21
108402,82.0600,2026-05-21
108403,67.7500,2026-05-21
108465,28.5000,2026-05-21
108466,105.7100,2026-05-21
108479,258.8414,2026-05-21
108511,38.2907,2026-05-21
108544,12.8157,2026-05-21
108545,45.6006,2026-05-21
108546,12.9175,2026-05-21
108547,14.4747,2026-05-21
108557,11.8838,2026-05-21
108558,11.2822,2026-05-21
108559,11.1699,2026-05-21
108561,11.5332,2026-05-21
108592,86.8710,2026-05-21
108593,18.6030,2026-05-21
108594,203.0400,2026-05-21
108595,45.4430,2026-05-21
108596,138.3720,2026-05-21
108597,27.3670,2026-05-21
108632,40.3731,2026-05-21
108633,10.0765,2026-05-21
108634,10.0835,2026-05-21
108635,10.0945,2026-05-21
108644,10.3149,2026-05-21
108646,11.4104,2026-05-21
108650,10.0836,2026-05-21
108675,11.1886,2026-05-21
108690,3323.1645,2026-05-21
108691,1002.2242,2026-05-21
108692,1001.4161,2026-05-21
108693,1004.0241,2026-05-21
108701,10.1055,2026-05-21
108713,10.3699,2026-05-21
108727,10.2144,2026-05-21
108728,47.1208,2026-05-21
108729,10.2079,2026-05-21
108730,10.2885,2026-05-21
108731,10.2355,2026-05-21
108753,46.7893,2026-05-21
108756,42.4090,2026-05-21
108757,10.2497,2026-05-21
108763,11.8698,2026-05-21
108764,12.1166,2026-05-21
108765,66.0581,2026-05-21
108766,11.6291,2026-05-21
108767,10.3392,2026-05-21
108768,59.4051,2026-05-21
108799,74.9750,2026-05-21
108800,20.6670,2026-05-21
108845,34.0190,2026-05-21
108847,10.6197,2026-05-21
108908,35.7130,2026-05-21
108909,142.8770,2026-05-21
108992,10.8270,2026-05-21
108995,31.8400,2026-05-21
109010,82.0332,2026-05-21
109058,27.5165,2026-05-21
109059,102.6747,2026-05-21
109108,100.3421,2026-05-21
109254,3171.5106,2026-05-21
109255,1005.4482,2026-05-21
109264,1004.5632,2026-05-21
109269,3316.0032,2026-05-21
109274,64.7540,2026-05-21
109275,87.0877,2026-05-21
109349,1005.5000,2026-05-21
109350,1000.4611,2026-05-21
109351,1004.2655,2026-05-21
109353,3314.2702,2026-05-21
109366,1240.2634,2026-05-21
109370,1001.0765,2026-05-21
109371,3981.7312,2026-05-21
109372,1240.0904,2026-05-21
109445,126.1300,2026-05-21
109446,24.0700,2026-05-21
109472,16.9926,2026-05-21
109473,16.9945,2026-05-21
109501,1045.5612,2026-05-21
109522,93.7761,2026-05-21
109523,72.2617,2026-05-21
109716,31.6921,2026-05-21
109717,38.5170,2026-05-21
109720,37.7936,2026-05-21
109721,37.7936,2026-05-21
109723,10.4815,2026-05-21
109724,37.7936,2026-05-21
109740,40.9860,2026-05-21
109741,11.2258,2026-05-21
109743,11.2206,2026-05-21
109830,103.9735,2026-05-21
109831,74.3119,2026-05-21
110282,111.2061,2026-05-21
110490,112.8132,2026-05-21
110598,32.8200,2026-05-21
110599,99.6700,2026-05-21
110601,99.6700,2026-05-21
